name,education,alma_mater,awards
Atta ur Rehman Khan,[],"['University of Malaya', 'COMSATS University']",[]
Wil van der Aalst,[],[],[]
Scott Aaronson,[],"['Cornell University', 'University of California, Berkeley']","['Alan T. Waterman Award', 'PECASE', 'Tomassoni–Chisesi Prize', 'ACM Prize in Computing']"
Rediet Abebe,[],"['Cornell University', 'University of Cambridge', 'Harvard University']",[]
Hal Abelson,[],"['Princeton University', 'BA', 'Massachusetts Institute of Technology', 'PhD']",['SIGCSE Award for Outstanding Contribution to Computer Science Education']
Serge Abiteboul,[],['University of Southern California'],"['SIGMOD Edgar F. Codd Innovations Award', 'ACM Fellow', '[1]', 'Milner Award', 'ISI highly cited researcher', 'citation needed', 'when?']"
Samson Abramsky,[],"[""King's College, Cambridge"", 'Queen Mary University of London']","['FRS', 'FRSE', 'Lovelace Medal', 'ACM Fellow', '[1]']"
Leonard Adleman,[],"['University of California, Berkeley']",['Turing Award']
Manindra Agrawal,[],['Indian Institute of Technology Kanpur'],"['Clay Research Award', 'S S Bhatnagar Prize', 'ICTP Prize', 'Fulkerson Prize', 'Gödel Prize', 'Infosys Prize', 'G.D. Birla Award for Scientific Research', 'Padma Shri']"
Luis von Ahn,"['Duke University', 'BS', 'Carnegie Mellon University']",[],"['MacArthur Fellowship', 'Innovators Under 35', '[1]', 'Lemelson–MIT Prize']"
Alfred Aho,[],"['University of Toronto', 'Princeton University']","['FAAAS', 'IEEE Fellow', 'FACM', 'John von Neumann Medal', 'Turing Award']"
Frances Allen,[],"['University at Albany', 'University of Michigan']","['ACM Fellow', 'IBM Fellow', 'Ada Lovelace Award', 'Computer Pioneer Award', 'Turing Award', 'Member of the National Academy of Sciences', '[1]']"
Gene Amdahl,[],"['South Dakota State University', 'BS', 'University of Wisconsin', 'MS', 'PhD']","['National Academy of Engineering', 'Computer History Museum', '[1]']"
David P. Anderson,[],"['Wesleyan University', 'University of Wisconsin-Madison']",['Presidential Young Investigator Award']
Lisa Anthony,[],[],[]
Andrew Appel,[],[],[]
Cecilia R. Aragon,[],"['California Institute of Technology', 'University of California, Berkeley']",['Presidential Early Career Award for Scientists and Engineers']
Bruce Arden,['Purdue University'],[],[]
Kevin Ashton,[],[],[]
Sanjeev Arora,[],"['SB', 'Massachusetts Institute of Technology', 'PhD', 'UC Berkeley']",[]
Winifred Asprey,[],"['Vassar College', 'University of Iowa']",[]
John Vincent Atanasoff,[],"['University of Florida', 'Iowa State University', 'University of Wisconsin–Madison']",['Order of Saints Cyril and Methodius']
Shaku Atre,"['University of Poona', 'University of Heidelberg']",[],[]
Lennart Augustsson,[],[],[]
Charles Babbage,[],"['Peterhouse, Cambridge']",['Gold Medal of the Royal Astronomical Society']
Charles Bachman,[],"['University of Pennsylvania', 'Michigan State University']","['Turing Award', 'National Medal of Technology and Innovation', 'ACM Fellow']"
Roland Carl Backhouse,"['Churchill College, Cambridge', 'Imperial College London']",[],[]
John Backus,[],"['University of Virginia', 'University of Pittsburgh', 'Haverford College', 'Columbia University']","['National Medal of Science', 'Turing Award', 'Charles Stark Draper Prize']"
David F. Bacon,[],['U.C. Berkeley'],['ACM Fellow']
David Bader (computer scientist),[],"['Lehigh University', 'B.S.', 'M.S.', 'University of Maryland, College Park', 'Ph.D.']","['AAAS Fellow', '[1]', 'IEEE Fellow', '[2]', 'SIAM Fellow', '[3]', 'IEEE Computer Society', 'Sidney Fernbach Award', '[4]', 'ACM Fellow', '[5]']"
Victor Bahl,[],"['University of Massachusetts, Amherst', 'Modern School, New Delhi']",[]
Anthony James Barr,[],['North Carolina State University'],[]
Jean Bartik,[],"['Northwest Missouri State Teachers College', 'University of Pennsylvania']","['Computer Pioneer Award', 'IEEE Computer Society', 'WITI Hall of Fame', 'Computer History Museum']"
Andrew Barto,[],['University of Michigan'],"['IEEE Neural Networks Society', 'IJCAI Award for Research Excellence']"
Friedrich L. Bauer,['Ludwig-Maximilians-Universität'],[],"['Iron Cross', 'Bundesverdienstkreuz', 'Computer Pioneer Award']"
Rudolf Bayer,[],['University of Illinois at Urbana–Champaign'],"['Cross of Merit, First class', 'SIGMOD Edgar F. Codd Innovations Award']"
Gordon Bell,[],['MIT'],"['National Medal of Technology', 'IEEE John von Neumann Medal', 'CHM']"
